,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,à,â,á,å,ä,ã,ą,æ,œ,ç,ĉ,ć,č,ď,ð,è,é,ê,ë,ę,ě,ĝ,ğ,ĥ,î,ì,í,ï,ı,ĵ,ł,ñ,ń,ň,ò,ö,ô,ó,õ,ø,ř,ŝ,ş,ś,š,ß,ť,þ,ù,ú,û,ŭ,ü,ů,ý,ź,ż,ž
English,0.08167,0.01492,0.02782,0.04253,0.12702,0.02228,0.02015,0.06094,0.06966,0.00153,0.00772,0.04025,0.02406,0.06749,0.07507,0.01929,0.00095,0.05987,0.06327,0.09056,0.02758,0.00978,0.0236,0.0015,0.01974,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French,0.07636,0.00901,0.0326,0.03669,0.14715,0.01066,0.00866,0.00737,0.07529,0.00613,0.00074,0.05456,0.02968,0.07095,0.05796,0.02521,0.01362,0.06693,0.07948,0.07244,0.06311,0.01838,0.00049,0.00427,0.00128,0.00326,0.00486,0.00051,0,0,0,0,0,0,0.00018,0.00085,0,0,0,0,0,0.00271,0.01504,0.00218,0.00008,0,0,0,0,0,0.00045,0,0,0.00005,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0,0,0.00058,0,0.0006,0,0,0,0,0,0,0
German,0.06516,0.01886,0.02732,0.05076,0.16396,0.01656,0.03009,0.04577,0.0655,0.00268,0.01417,0.03437,0.02534,0.09776,0.02594,0.0067,0.00018,0.07003,0.0727,0.06154,0.04166,0.00846,0.01921,0.00034,0.00039,0.01134,0,0,0,0,0.00578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443,0,0,0,0,0,0,0,0,0,0.00307,0,0,0,0,0,0,0.00995,0,0,0,0,0
Spanish,0.11525,0.02215,0.04019,0.0501,0.12181,0.00692,0.01768,0.00703,0.06247,0.00493,0.00011,0.04967,0.03157,0.06712,0.08683,0.0251,0.00877,0.06871,0.07977,0.04632,0.02927,0.01138,0.00017,0.00215,0.01008,0.00467,0,0,0.00502,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00433,0,0,0,0,0,0,0,0,0,0.00725,0,0,0,0,0.00311,0,0,0,0,0,0.00827,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0.00012,0,0,0,0,0
Portuguese,0.14634,0.01043,0.03882,0.04992,0.1257,0.01023,0.01303,0.00781,0.06186,0.00397,0.00015,0.02779,0.04738,0.04446,0.09735,0.02523,0.01204,0.0653,0.06805,0.04336,0.03639,0.01575,0.00037,0.00253,0.00006,0.0047,0.00072,0.00562,0.00118,0,0,0.00733,0,0,0,0.0053,0,0,0,0,0,0,0.00337,0.0045,0,0,0,0,0,0,0,0,0.00132,0,0,0,0,0,0,0,0,0,0.00635,0.00296,0.0004,0,0,0,0,0,0,0,0,0,0,0.00207,0,0,0.00026,0,0,0,0,0
Esperanto,0.12117,0.0098,0.00776,0.03044,0.08995,0.01037,0.01171,0.00384,0.10012,0.03501,0.04163,0.06104,0.02994,0.07955,0.08779,0.02755,0,0.05914,0.06092,0.05276,0.03183,0.01904,0,0,0,0.00494,0,0,0,0,0,0,0,0,0,0,0.00657,0,0,0,0,0,0,0,0,0,0,0.00691,0,0.00022,0,0,0,0,0,0.00055,0,0,0,0,0,0,0,0,0,0,0,0.00385,0,0,0,0,0,0,0,0,0,0.0052,0,0,0,0,0,0
Italian,0.11745,0.00927,0.04501,0.03736,0.11792,0.01153,0.01644,0.00636,0.10143,0.00011,0.00009,0.0651,0.02512,0.06883,0.09832,0.03056,0.00505,0.06367,0.04981,0.05623,0.03011,0.02097,0.00033,0.00003,0.0002,0.01181,0.00635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0,0,0.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0.00166,0,0,0,0,0,0,0,0
Turkish,0.1192,0.02844,0.00963,0.04706,0.08912,0.00461,0.01253,0.01212,0.086,0.00034,0.04683,0.05922,0.03752,0.07487,0.02476,0.00886,0,0.06722,0.03014,0.03314,0.03235,0.00959,0,0,0.03336,0.015,0,0,0,0,0,0,0,0,0,0.01156,0,0,0,0,0,0,0,0,0,0,0,0,0.01125,0,0,0,0,0,0.05114,0,0,0,0,0,0,0.00777,0,0,0,0,0,0,0.0178,0,0,0,0,0,0,0,0,0,0.01854,0,0,0,0,0
Swedish,0.09383,0.01535,0.01486,0.04702,0.10149,0.02027,0.02862,0.0209,0.05817,0.00614,0.0314,0.05275,0.03471,0.08542,0.04482,0.01839,0.0002,0.08431,0.0659,0.07691,0.01919,0.02415,0.00142,0.00159,0.00708,0.0007,0,0,0,0.01338,0.01797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish,0.10503,0.0174,0.03895,0.03725,0.07352,0.00143,0.01731,0.01015,0.08328,0.01836,0.02753,0.02564,0.02515,0.06237,0.06667,0.02445,0,0.05243,0.05224,0.02475,0.02062,0.00012,0.05813,0.00004,0.03206,0.04852,0,0,0,0,0,0,0.00699,0,0,0,0,0.00743,0,0,0,0,0,0,0,0.01035,0,0,0,0,0,0,0,0,0,0,0.02109,0,0.00362,0,0,0,0,0.01141,0,0,0,0,0,0.00814,0,0,0,0,0,0,0,0,0,0,0,0.00078,0.00706,0
